Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Way Back,"Adventure, Drama, History",0,3.5,3.0,7.3,74.0,66.0,4.0,5.0,2701859.0,1607731200,110733.0,13,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Whistleblower,"Biography, Crime, Drama",0,3.4,5.0,7.1,75.0,59.0,8.0,11.0,1124966.0,1607731200,31769.0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Its Me, Its Me",Horror,0,3.8,3.0,7.3,86.0,69.0,8.0,47.0,328828874.0,1607644800,460854.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Babel,Drama,1,3.5,1.0,7.4,69.0,69.0,43.0,136.0,34302837.0,1607385600,289958.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halloween 4: The Return of Michael Myers,"Horror, Thriller",0,2.0,3.0,5.9,29.0,34.0,1.0,2.0,17768757.0,1607212800,44178.0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Emma,"Comedy, Drama, Romance",0,3.7,5.0,6.6,89.0,66.0,3.0,7.0,22231658.0,1607212800,36103.0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Abominable,"Animation, Adventure, Comedy, Family, Fantasy",0,3.5,3.0,7.0,81.0,61.0,4.0,22.0,60826390.0,1607212800,29620.0,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Being Frank,Comedy,0,6.6,3.0,6.0,34.0,41.0,3.0,5.0,67343.0,1606867200,1249.0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Room,Drama,0,1.2,1.0,3.7,24.0,9.0,1.0,0.0,549602.0,1606780800,82430.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dora and the Lost City of Gold,"Adventure, Comedy, Family, Mystery",0,3.5,3.0,6.1,85.0,63.0,4.0,2.0,60477943.0,1606780800,24321.0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Rhythm Section,"Action, Drama, Mystery, Thriller",0,2.1,3.0,5.3,28.0,45.0,1.0,3.0,5437971.0,1606780800,12701.0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Godzilla & Mothra: Battle for Earth,"Action, Adventure, Sci-Fi, Thriller",0,3.4,3.0,6.4,76.0,62.0,7.0,31.0,200676069.0,1606780800,377876.0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Godzilla,"Action, Adventure, Sci-Fi, Thriller",0,3.4,3.0,6.4,76.0,62.0,7.0,31.0,200676069.0,1606780800,377876.0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Fiction.,"Crime, Drama",0,4.6,3.0,8.9,92.0,94.0,70.0,75.0,107928762.0,1606780800,1831004.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Guest,"Action, Mystery, Thriller",1,3.9,1.0,6.7,91.0,76.0,4.0,13.0,332890.0,1606780800,91927.0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Respiro,Drama,0,6.3,1.0,7.0,76.0,65.0,21.0,11.0,1072834.0,1606694400,4517.0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Embalmer,"Drama, Romance",0,7.5,3.0,7.0,81.0,71.0,16.0,20.0,56878.0,1606694400,2312.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Perfect Day,"Comedy, Drama, War",0,3.3,3.0,6.8,72.0,60.0,4.0,21.0,14044.0,1606694400,20595.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Sisters Brothers,"Crime, Drama, Western",0,3.9,1.0,7.0,87.0,78.0,11.0,23.0,3143056.0,1606608000,54525.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
